Estado,Municipio,Localidad,Nombre de la Planta,Capacidad Inst.,Caudal Potabilizado,Proceso Potabilizaci¢n
COAHUILA DE ZARAGOZA,San Buenaventura,SAN BLAS,San Blas,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,San Buenaventura,SAN FRANCISCO,San Francisco,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,San Buenaventura,SANTA GERTRUDIS,Santa Gertrudis,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,San Pedro,MALA NOCHE Y ARRACADAS,Mala Noche,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,San Pedro,San Pedro,Pozo Jaboncillo,35,35,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,San Pedro,San Pedro,Pozo Leal,28,28,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Sierra Mojada,SALINA DEL REY (DEL REY SUR),Salinas del Rey Sur,0.12,0.12,Osmosis Inversa
COAHUILA DE ZARAGOZA,Torre¢n,PASO DEL AGUILA,Pozo Paso del Aguila,25,25,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 16 Col. Palmas San Isidro,54,54,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 18R Col. Camilo Torres,36,36,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 30 san Agustin,32,32,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 32R  Jumbo,37,37,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 35 Col. Rovirosa Wade,28,28,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 46 Col. La Compresora,26,26,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 50 Zacatecas,18,18,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 50R  Col. Luis Echeverria,15,15,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 65 Nueva Laguna,12,12,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 67 Lucio Blanco,22,22,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 6R Col. Villas La Merced,25,25,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 75 Senderos,12,12,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 75R Senderos,20,20,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo 79 Fracc. Lagos,30,30,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Torre¢n,Torre¢n,Pozo San Antonio de los Bravo,40,40,Filtraci¢n Directa
COAHUILA DE ZARAGOZA,Villa Uni¢n,"PORVENIR, EL",EL PORVENIR ,0.12,0.12,Osmosis Inversa
COLIMA,Colima,Acatit n,ACATITAN,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Colima,L zaro C rdenas,0.35,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,El Amarradero,Amarradero,0.35,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,El Chanal,EL CHANAL,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Estapilla,ESTAPILLA,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Las Guasimas (Las Borregas),Guasimas,0.35,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Los Asmoles,Los Asmoles,1,0.5,Osmosis Inversa
COLIMA,Colima,Los Ortices,Los Ortices,1,0.5,Osmosis Inversa
COLIMA,Colima,Piscila,PISCILA,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Puerta de µnzar,Puerta de Anzar,0.35,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,Tinajas,TINAJAS,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,VIVIENDA SIN NOMBRE,LO DE VILLA,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Colima,VIVIENDA SIN NOMBRE,LOMA DE ALLENDE,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,AGOSTO,AGOSTO,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,Cofrad¡a de Suchitl n,Cofradia de Suchitlan I,0.116,0.029,Osmosis Inversa
COLIMA,Comala,Cofrad¡a de Suchitl n,COFRADIA DE SUCHITLAN II,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,Comala,COL LAZARO CARDENAS,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,Comala,Col. Francisco Ramirez Villareal,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,Comala,Colonia Cuauhtemoc,0.116,0.029,Osmosis Inversa
COLIMA,Comala,Comala,Colonia Los Aguajitos,0.116,0.029,Osmosis Inversa
COLIMA,Comala,El Remate,El Remate,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,El Remudadero,EL REMUDADERO,0.116,0.029,Filtro de Carb¢n Activado
COLIMA,Comala,La Becerrera,La Becerrera,0.33,0.02,Osmosis Inversa
COLIMA,Cuauht‚moc,Buenavista,BUENAVISTA,0.116,0.029,Filtro de Carb¢n Activado
